DateTime,open,high,low,close,close_moving_avg,std,upper_bb,lower_bb
2024-12-31 09:16:00,2355950,2356430,2354005,2355135,,,,
2024-12-31 09:17:00,2355070,2356150,2354500,2355915,,,,
2024-12-31 09:18:00,2355980,2356025,2355100,2355405,,,,
2024-12-31 09:19:00,2355400,2357195,2355215,2356905,,,,
2024-12-31 09:20:00,2356960,2357015,2355475,2355475,,,,
2024-12-31 09:21:00,2355450,2356400,2354280,2356240,,,,
2024-12-31 09:22:00,2356245,2356245,2354130,2354130,,,,
2024-12-31 09:23:00,2354110,2354575,2353330,2353690,,,,
2024-12-31 09:24:00,2353705,2354255,2352840,2354065,,,,
2024-12-31 09:25:00,2354225,2354870,2354170,2354560,,,,
2024-12-31 09:26:00,2354615,2354770,2353290,2353470,,,,
2024-12-31 09:27:00,2353390,2355400,2352820,2355115,,,,
2024-12-31 09:28:00,2355210,2355210,2353960,2354615,,,,
2024-12-31 09:29:00,2354665,2355090,2353640,2353690,,,,
2024-12-31 09:30:00,2353615,2354030,2353250,2354020,,,,
2024-12-31 09:31:00,2354125,2355270,2353735,2354650,,,,
2024-12-31 09:32:00,2354675,2354680,2353595,2353755,,,,
2024-12-31 09:33:00,2353690,2354965,2353525,2354535,,,,
2024-12-31 09:34:00,2354450,2355670,2354450,2355125,,,,
2024-12-31 09:35:00,2355140,2355565,2354350,2354705,2354760.0,916.8251856557457,2356593.6503713117,2352926.3496286883
2024-12-31 09:36:00,2354705,2355020,2354260,2354620,2354734.25,912.9626080427796,2356560.1752160857,2352908.3247839143
2024-12-31 09:37:00,2354755,2358085,2354575,2357325,2354804.75,1052.6888816640087,2356910.127763328,2352699.372236672
2024-12-31 09:38:00,2357300,2357625,2356345,2357505,2354909.75,1208.8592654582699,2357327.4685309166,2352492.0314690834
2024-12-31 09:39:00,2357555,2357685,2357100,2357440,2354936.5,1260.1650894353797,2357456.830178871,2352416.169821129
2024-12-31 09:40:00,2357450,2358410,2357230,2358070,2355066.25,1439.3793207308129,2357945.008641462,2352187.491358538
2024-12-31 09:41:00,2358115,2358440,2357215,2357630,2355135.75,1529.7568391225602,2358195.2636782452,2352076.2363217548
2024-12-31 09:42:00,2357640,2357740,2356235,2356485,2355253.5,1538.8752728091065,2358331.250545618,2352175.749454382
2024-12-31 09:43:00,2356530,2356575,2353570,2353570,2355247.5,1545.5117530926486,2358338.5235061855,2352156.4764938145
2024-12-31 09:44:00,2353565,2353565,2351045,2353095,2355199.0,1598.8718061907646,2358396.7436123816,2352001.2563876184
2024-12-31 09:45:00,2353100,2353100,2352255,2352340,2355088.0,1718.1778904287062,2358524.3557808576,2351651.6442191424
2024-12-31 09:46:00,2352430,2352510,2351700,2351930,2355011.0,1825.651001409496,2358662.302002819,2351359.697997181
2024-12-31 09:47:00,2352005,2353515,2352005,2353200,2354915.25,1869.5985179768404,2358654.447035954,2351176.052964046
2024-12-31 09:48:00,2353200,2353255,2352685,2352950,2354832.0,1920.0605801846689,2358672.1211603694,2350991.8788396306
2024-12-31 09:49:00,2352875,2352875,2351125,2351185,2354706.75,2074.0084980539787,2358854.766996108,2350558.733003892
2024-12-31 09:50:00,2351225,2351790,2350900,2351655,2354588.5,2179.9397022081357,2358948.3794044163,2350228.6205955837
2024-12-31 09:51:00,2351660,2351675,2350780,2350785,2354395.25,2339.663985658973,2359074.577971318,2349715.922028682
2024-12-31 09:52:00,2350880,2351060,2350555,2350625,2354238.75,2484.918125835423,2359208.586251671,2349268.913748329
2024-12-31 09:53:00,2350655,2350670,2350160,2350500,2354037.0,2619.7425546476325,2359276.485109295,2348797.514890705
2024-12-31 09:54:00,2350410,2351940,2350310,2351605,2353861.0,2660.7214098910727,2359182.442819782,2348539.557180218
2024-12-31 09:55:00,2351630,2352820,2351630,2352090,2353730.25,2681.236201044137,2359092.7224020883,2348367.7775979117
2024-12-31 09:56:00,2352035,2352095,2349885,2350315,2353515.0,2777.1354988454314,2359069.270997691,2347960.729002309
2024-12-31 09:57:00,2350425,2352580,2350395,2351580,2353227.75,2656.8186728729447,2358541.3873457457,2347914.1126542543
2024-12-31 09:58:00,2351585,2351885,2351260,2351535,2352929.25,2480.4871523871975,2357890.2243047743,2347968.2756952257
2024-12-31 09:59:00,2351505,2351755,2351200,2351665,2352640.5,2253.505398029365,2357147.510796059,2348133.489203941
2024-12-31 10:00:00,2351605,2353665,2351575,2353055,2352389.75,1862.6844486555556,2356115.118897311,2348664.381102689
2024-12-31 10:01:00,2353045,2354170,2352305,2352340,2352125.25,1396.7127525579508,2354918.675505116,2349331.824494884
2024-12-31 10:02:00,2352315,2352330,2350770,2350810,2351841.5,978.1159386666533,2353797.7318773335,2349885.2681226665
2024-12-31 10:03:00,2350765,2352005,2350730,2351035,2351714.75,903.7618383879708,2353522.273676776,2349907.226323224
2024-12-31 10:04:00,2350965,2351975,2350700,2351760,2351648.0,843.7625632593412,2353335.5251265187,2349960.4748734813
2024-12-31 10:05:00,2351665,2352815,2351565,2352100,2351636.0,835.0647626949765,2353306.12952539,2349965.87047461
2024-12-31 10:06:00,2352060,2352060,2349715,2349780,2351528.5,928.3971756686764,2353385.2943513375,2349671.7056486625
2024-12-31 10:07:00,2349810,2349915,2348050,2348800,2351308.5,1027.4983672673095,2353363.4967345344,2349253.5032654656
2024-12-31 10:08:00,2348695,2349405,2348505,2348985,2351110.25,1075.50168831995,2353261.25337664,2348959.24662336
2024-12-31 10:09:00,2348855,2349030,2348030,2348460,2350974.0,1227.4134121031288,2353428.8268242064,2348519.1731757936
2024-12-31 10:10:00,2348435,2348550,2346565,2347355,2350759.0,1456.9837263838742,2353672.967452768,2347845.032547232
2024-12-31 10:11:00,2347255,2347375,2346560,2346830,2350561.25,1701.1991707090426,2353963.6483414182,2347158.8516585818
2024-12-31 10:12:00,2346790,2347205,2346615,2347025,2350381.25,1875.6120930737034,2354132.4741861476,2346630.0258138524
2024-12-31 10:13:00,2347055,2347525,2346045,2346205,2350166.5,2094.4174544928524,2354355.3349089855,2345977.6650910145
2024-12-31 10:14:00,2346230,2346620,2346135,2346260,2349899.25,2237.3399825168467,2354373.9299650337,2345424.5700349663
2024-12-31 10:15:00,2346255,2347160,2346170,2347000,2349644.75,2264.357394029224,2354173.4647880583,2345116.0352119417
2024-12-31 10:16:00,2347050,2348860,2347045,2348800,2349569.0,2266.095413051423,2354101.1908261026,2345036.8091738974
2024-12-31 10:17:00,2348790,2349345,2347585,2348535,2349416.75,2225.8057529802622,2353868.3615059606,2344965.1384940394
2024-12-31 10:18:00,2348470,2348900,2348015,2348840,2349282.0,2171.738571065283,2353625.4771421305,2344938.5228578695
2024-12-31 10:19:00,2348735,2350895,2348690,2350635,2349230.5,2123.941160350642,2353478.382320701,2344982.617679299
2024-12-31 10:20:00,2350640,2352335,2350015,2352180,2349186.75,2048.6948830131514,2353284.1397660263,2345089.3602339737
2024-12-31 10:21:00,2352210,2352225,2350480,2350480,2349093.75,1937.2035426845364,2352968.157085369,2345219.342914631
2024-12-31 10:22:00,2350425,2350770,2349870,2350240,2349065.25,1914.6873284663257,2352894.6246569324,2345235.8753430676
2024-12-31 10:23:00,2350275,2353560,2350225,2353225,2349174.75,2088.040175934318,2353350.8303518686,2344998.6696481314
2024-12-31 10:24:00,2353205,2354315,2353075,2353445,2349259.0,2227.198854355429,2353713.3977087107,2344804.6022912893
2024-12-31 10:25:00,2353485,2354060,2353430,2353760,2349342.0,2365.2953526490523,2354072.590705298,2344611.409294702
2024-12-31 10:26:00,2353730,2354180,2352285,2352795,2349492.75,2487.5973797389815,2354467.944759478,2344517.555240522
2024-12-31 10:27:00,2352775,2354370,2352590,2354330,2349769.25,2704.428276481291,2355178.1065529627,2344360.3934470373
2024-12-31 10:28:00,2354225,2355545,2353775,2353875,2350013.75,2847.0783154332908,2355707.9066308667,2344319.5933691333
2024-12-31 10:29:00,2353800,2353895,2351710,2351770,2350179.25,2848.210091212394,2355875.6701824246,2344482.8298175754
2024-12-31 10:30:00,2351740,2352220,2349935,2350755,2350349.25,2771.194059093981,2355891.638118188,2344806.861881812
2024-12-31 10:31:00,2350570,2351925,2350415,2351270,2350571.25,2649.6056682775165,2355870.461336555,2345272.038663445
2024-12-31 10:32:00,2351345,2352130,2351095,2352130,2350826.5,2533.3414069584883,2355893.182813917,2345759.817186083
2024-12-31 10:33:00,2351885,2352075,2351290,2351575,2351095.0,2290.6985834019965,2355676.397166804,2346513.602833196
2024-12-31 10:34:00,2351630,2352555,2351400,2352100,2351387.0,1995.075780119899,2355377.15156024,2347396.84843976
2024-12-31 10:35:00,2352155,2352650,2351870,2351955,2351634.75,1708.7310427085135,2355052.212085417,2348217.287914583
2024-12-31 10:36:00,2351950,2353190,2351695,2353030,2351846.25,1597.5597138991716,2355041.3694277983,2348651.1305722017
2024-12-31 10:37:00,2353140,2354025,2352435,2353400,2352089.5,1428.2505861514555,2354946.0011723028,2349232.9988276972
2024-12-31 10:38:00,2353325,2353435,2352815,2353110,2352303.0,1221.0569192301518,2354745.1138384603,2349860.8861615397
2024-12-31 10:39:00,2353075,2353540,2352430,2353340,2352438.25,1175.5382585727584,2354789.3265171456,2350087.1734828544
2024-12-31 10:40:00,2353255,2353510,2352625,2353095,2352484.0,1182.7416855495896,2354849.483371099,2350118.516628901
2024-12-31 10:41:00,2353130,2353770,2352525,2353745,2352647.25,1114.9645675275872,2354877.1791350553,2350417.3208649447
2024-12-31 10:42:00,2353785,2354455,2353620,2353755,2352823.0,984.999866417233,2354792.9997328343,2350853.0002671657
2024-12-31 10:43:00,2353695,2354075,2353405,2353745,2352849.0,1002.8703542174716,2354854.740708435,2350843.259291565
2024-12-31 10:44:00,2353715,2354345,2353705,2353940,2352873.75,1024.233827897898,2354922.2176557956,2350825.2823442044
2024-12-31 10:45:00,2353905,2354605,2353880,2354450,2352908.25,1066.4097106893257,2355041.0694213784,2350775.4305786216
2024-12-31 10:46:00,2354475,2354590,2353400,2353665,2352951.75,1079.214230476512,2355110.178460953,2350793.321539047
2024-12-31 10:47:00,2353675,2354095,2353535,2354060,2352938.25,1062.6274226997618,2355063.5048453994,2350812.9951546006
