,midband,upper_band,lower_band
0,0.1875461841969821,8.431010499840529,-8.055918131446564
1,-0.0016966540672950002,8.427519669837737,-8.430912977972328
2,-0.0016966540672950002,8.522275024934224,-8.525668333068815
3,-0.0016966540672950002,8.571012108761574,-8.574405416896164
4,-0.0016966540672950002,8.596183217315557,-8.599576525450148
5,-0.0016966540672950002,8.60921048865915,-8.61260379679374
6,-0.0016966540672950002,8.615959976762086,-8.619353284896677
7,-0.0016966540672950002,8.619458854494201,-8.622852162628792
8,-0.0016966540672950002,8.621273162952,-8.624666471086591
9,-0.0016966540672950002,8.622214094287898,-8.625607402422489
10,-0.0016966540672950002,8.62270211487542,-8.62609542301001
11,-0.0016966540672950002,8.622955240245133,-8.626348548379724
12,-0.0016966540672950002,8.62308653343153,-8.626479841566121
13,-0.0016966540672950002,8.623154634411376,-8.626547942545967
14,-0.0016966540672950002,8.623189958173302,-8.626583266307893
15,-0.0016966540672950002,8.623208280549285,-8.626601588683876
16,-0.0016966540672950002,8.623217784349157,-8.626611092483747
17,-0.0016966540672950002,8.623222713965394,-8.626616022099984
18,-0.0016966540672950002,8.6232252709559,-8.62661857909049
19,-0.0016966540672950002,8.623226597266406,-8.626619905400997
20,-0.0016966540672950002,8.623227285223496,-8.626620593358087
21,-0.0016966540672950002,8.623227642066773,-8.626620950201364
22,-0.0016966540672950002,8.623227827161351,-8.626621135295942
23,-0.0016966540672950002,8.623227923169894,-8.626621231304485
24,-0.0016966540672950002,8.623227972969518,-8.626621281104109
25,-0.0016966540672950002,8.62322799880058,-8.62662130693517
26,-0.0016966540672950002,8.623228012199151,-8.626621320333742
27,-0.0016966540672950002,8.623228019148987,-8.626621327283578
28,-0.0016966540672950002,8.623228022753867,-8.626621330888458
29,-0.0016966540672950002,8.62322802462372,-8.62662133275831
30,-0.0016966540672950002,8.62322802559361,-8.6266213337282
31,-0.0016966540672950002,8.623228026096694,-8.626621334231285
32,-0.0016966540672950002,8.623228026357642,-8.626621334492233
33,-0.0016966540672950002,8.623228026492997,-8.626621334627588
34,-0.0016966540672950002,8.623228026563204,-8.626621334697795
35,-0.0016966540672950002,8.623228026599621,-8.626621334734212
36,-0.0016966540672950002,8.623228026618511,-8.626621334753102
37,-0.0016966540672950002,8.62322802662831,-8.6266213347629
38,-0.0016966540672950002,8.623228026633392,-8.626621334767982
39,-0.0016966540672950002,8.623228026636028,-8.626621334770618
40,-0.0016966540672950002,8.623228026637396,-8.626621334771986
41,-0.0016966540672950002,8.623228026638106,-8.626621334772697
42,-0.0016966540672950002,8.623228026638472,-8.626621334773063
43,-0.0016966540672950002,8.623228026638662,-8.626621334773253
44,-0.0016966540672950002,8.623228026638762,-8.626621334773352
45,-0.0016966540672950002,8.623228026638813,-8.626621334773404
46,-0.0016966540672950002,8.62322802663884,-8.62662133477343
47,-0.0016966540672950002,8.623228026638854,-8.626621334773445
48,-0.0016966540672950002,8.623228026638861,-8.626621334773452
49,-0.0016966540672950002,8.623228026638865,-8.626621334773455
50,-0.0016966540672950002,8.623228026638868,-8.626621334773459
51,-0.0016966540672950002,8.623228026638868,-8.626621334773459
52,-0.0016966540672950002,8.623228026638868,-8.626621334773459
53,-0.0016966540672950002,8.623228026638868,-8.626621334773459
54,-0.0016966540672950002,8.623228026638868,-8.626621334773459
55,-0.0016966540672950002,8.623228026638868,-8.626621334773459
56,-0.0016966540672950002,8.623228026638868,-8.626621334773459
57,-0.0016966540672950002,8.623228026638868,-8.626621334773459
58,-0.0016966540672950002,8.623228026638868,-8.626621334773459
59,-0.0016966540672950002,8.623228026638868,-8.626621334773459
60,-0.0016966540672950002,8.623228026638868,-8.626621334773459
61,-0.0016966540672950002,8.623228026638868,-8.626621334773459
62,-0.0016966540672950002,8.623228026638868,-8.626621334773459
63,-0.0016966540672950002,8.623228026638868,-8.626621334773459
64,-0.0016966540672950002,8.623228026638868,-8.626621334773459
65,-0.0016966540672950002,8.623228026638868,-8.626621334773459
66,-0.0016966540672950002,8.623228026638868,-8.626621334773459
67,-0.0016966540672950002,8.623228026638868,-8.626621334773459
68,-0.0016966540672950002,8.623228026638868,-8.626621334773459
69,-0.0016966540672950002,8.623228026638868,-8.626621334773459
70,-0.0016966540672950002,8.623228026638868,-8.626621334773459
71,-0.0016966540672950002,8.623228026638868,-8.626621334773459
72,-0.0016966540672950002,8.623228026638868,-8.626621334773459
73,-0.0016966540672950002,8.623228026638868,-8.626621334773459
74,-0.0016966540672950002,8.623228026638868,-8.626621334773459
75,-0.0016966540672950002,8.623228026638868,-8.626621334773459
76,-0.0016966540672950002,8.623228026638868,-8.626621334773459
77,-0.0016966540672950002,8.623228026638868,-8.626621334773459
78,-0.0016966540672950002,8.623228026638868,-8.626621334773459
79,-0.0016966540672950002,8.623228026638868,-8.626621334773459
80,-0.0016966540672950002,8.623228026638868,-8.626621334773459
81,-0.0016966540672950002,8.623228026638868,-8.626621334773459
82,-0.0016966540672950002,8.623228026638868,-8.626621334773459
83,-0.0016966540672950002,8.623228026638868,-8.626621334773459
84,-0.0016966540672950002,8.623228026638868,-8.626621334773459
85,-0.0016966540672950002,8.623228026638868,-8.626621334773459
86,-0.0016966540672950002,8.623228026638868,-8.626621334773459
87,-0.0016966540672950002,8.623228026638868,-8.626621334773459
88,-0.0016966540672950002,8.623228026638868,-8.626621334773459
89,-0.0016966540672950002,8.623228026638868,-8.626621334773459
90,-0.0016966540672950002,8.623228026638868,-8.626621334773459
91,-0.0016966540672950002,8.623228026638868,-8.626621334773459
