,arima_forecast,garch_forecast
0,2473.6467907441524,1.0460376352798815
1,2478.987726721668,7.032192137101105
2,2489.6396481835172,11.9295281181302
3,2507.548476848059,19.20404347699305
4,2536.1433506032026,30.240097981940952
5,2582.223792511708,48.63145661522724
6,2655.847951621746,77.59532115948124
7,2772.807978447994,123.16017581529357
8,2957.7256050933793,194.58880372689555
9,3251.8541836027775,309.65791258682185
10,3718.026920574816,490.653506012013
11,4457.196374584322,777.977159657008
12,5627.9121638209745,1232.0354605397397
13,7483.701739672357,1953.1140371332413
14,10426.269349901317,3097.0142429919188
15,15091.15064214016,4909.672183743036
16,22486.278477750042,7783.154603743539
17,34211.29417732496,12340.404729740432
18,52799.770813672105,19563.979095950035
19,82268.16643013855,31014.69719605272
20,128984.99165666975,49168.20072211932
21,203045.82675051864,77947.004352146
22,320456.0969007269,123571.15361773863
23,506588.5757293134,195899.3838982863
24,801668.0546704684,310563.1865967094
25,1269463.0251978794,492341.55735958304
26,2011066.8996978607,780517.999761536
27,3186746.125516916,1237370.6665532566
28,5050573.874638275,1961628.4927784742
29,8005338.357910508,3109810.1604946433
30,12689585.99038054,4930044.574115113
31,20115618.274380293,7815699.125164766
32,31888256.543557424,12390384.884631768
33,50551656.64356299,19642726.20513695
34,80139120.23276268,31140008.981330294
35,127044722.46692142,49366883.84910107
36,201405118.780914,78262315.68009557
37,319290152.9358125,124070825.49161373
38,506175672.3429633,196691979.02917394
39,802449051.2373394,311819756.91854316
40,1272137207.4706604,494334142.5153997
41,2016743304.1776228,783677875.3354198
42,3197182349.774276,1242380323.3047533
43,5068556148.613874,1969570554.091336
44,8035282731.451069,3122399877.2073326
45,12738494148.715675,4950003426.891698
46,20194589956.37697,7847340152.276843
47,32014888846.745262,12440546431.781124
48,50753846802.86731,19722248878.70486
49,80461094355.43616,31266078460.984142
50,127556592365.49306,49566744052.37816
51,202218034119.48804,78579157889.158
52,320580321818.2622,124573122011.87735
53,508222440964.97375,197488279903.10083
54,805695272577.4407,313082148614.61206
55,1277284945247.7166,496335437370.0285
56,2024905553703.9292,786850567748.5737
57,3210123565421.517,1247410056487.9087
58,5089073556112.732,1977544292150.4717
59,8067810828593.383,3135040804807.6777
