DateTime,open,high,low,close,actual,mid,SD,lower,upper
2025-02-01 09:16:00,2353830,2359160,2352475,2353605,2353.605,2353.3586740681576,0.8387516526548542,2352.1005465891753,2354.61680154714
2025-02-01 09:17:00,2353540,2353585,2351555,2352220,2352.22,2353.4447468803523,0.8238563943735914,2352.208962288792,2354.6805314719127
2025-02-01 09:18:00,2352240,2352665,2350360,2350380,2350.38,2353.0284699071335,1.040959974096872,2351.467029945988,2354.589909868279
2025-02-01 09:19:00,2350425,2350895,2349920,2350555,2350.555,2352.2852954802806,1.6437249108426308,2349.8197081140165,2354.7508828465448
2025-02-01 09:20:00,2350375,2350375,2349260,2349840,2349.84,2351.9225809071513,1.3338038365492797,2349.921875152327,2353.9232866619755
2025-02-01 09:21:00,2349850,2349980,2348010,2348710,2348.71,2351.347419721934,1.4268845398706824,2349.207092912128,2353.48774653174
2025-02-01 09:22:00,2348490,2349825,2347970,2348860,2348.86,2350.649209767078,1.677261512069814,2348.133317498973,2353.165102035183
2025-02-01 09:23:00,2348760,2349650,2348110,2349650,2349.65,2350.2558306698697,1.361174858165522,2348.2140683826215,2352.297592957118
2025-02-01 09:24:00,2349650,2350240,2349075,2349370,2349.37,2350.1635420314337,0.9591704746080066,2348.7247863195216,2351.602297743346
2025-02-01 09:25:00,2349195,2349730,2348955,2349440,2349.44,2349.9324156241496,0.9323075071621003,2348.5339543634063,2351.330876884893
2025-02-01 09:26:00,2349415,2349905,2349095,2349345,2349.345,2349.8343089902246,0.867498656756576,2348.5330610050896,2351.1355569753596
2025-02-01 09:27:00,2349240,2350230,2349060,2350095,2350.095,2349.702531529748,0.8579160219363201,2348.4156574968433,2350.9894055626523
2025-02-01 09:28:00,2350155,2350230,2349405,2349875,2349.875,2349.863084098575,0.8423670353385485,2348.5995335455673,2351.126634651583
2025-02-01 09:29:00,2349780,2350585,2349405,2350330,2350.33,2349.8250700221197,0.8138725949626273,2348.6042611296757,2351.0458789145637
2025-02-01 09:30:00,2350280,2350775,2349925,2350670,2350.67,2349.997348789533,0.8534120858113804,2348.717230660816,2351.2774669182504
2025-02-01 09:31:00,2351005,2353270,2350620,2353270,2353.27,2350.168751837919,0.8906061334353397,2348.832842637766,2351.504661038072
2025-02-01 09:32:00,2353335,2358950,2353330,2358395,2358.395,2351.121349804908,1.8442105806416094,2348.3550339339454,2353.8876656758703
2025-02-01 09:33:00,2358430,2358430,2355165,2355735,2355.735,2353.2120637826433,4.0034656242100395,2347.2068653463284,2359.2172622189582
2025-02-01 09:34:00,2355750,2356425,2355535,2355895,2355.895,2353.4784505190214,2.127257139725945,2350.2875648094323,2356.6693362286105
2025-02-01 09:35:00,2355990,2357305,2355990,2356265,2356.265,2354.186112923307,1.6825646974789767,2351.6622658770884,2356.7099599695257
2025-02-01 09:36:00,2356280,2356640,2355245,2355380,2355.38,2354.6701802263538,1.474095548048337,2352.459036904281,2356.8813235484263
2025-02-01 09:37:00,2355330,2355505,2353850,2354790,2354.79,2354.772272087059,1.0009074446167714,2353.2709109201337,2356.273633253984
2025-02-01 09:38:00,2354855,2356005,2354855,2355845,2355.845,2354.7513639898357,0.8376718753938674,2353.494856176745,2356.0078718029263
2025-02-01 09:39:00,2355840,2356115,2354850,2355100,2355.1,2355.1084951778357,1.000239234007979,2353.6081363268236,2356.608854028848
2025-02-01 09:40:00,2355125,2355170,2354515,2354980,2354.98,2355.012681891429,0.837523659797122,2353.7563964017336,2356.2689673811246
2025-02-01 09:41:00,2355015,2355015,2354295,2354355,2354.355,2355.027144794165,0.8133623178366947,2353.80710131741,2356.24718827092
2025-02-01 09:42:00,2354380,2356560,2354305,2356550,2356.55,2354.8072328681874,0.885448400342221,2353.479060267674,2356.135405468701
2025-02-01 09:43:00,2356590,2356635,2355910,2356175,2356.175,2355.424973581253,1.238422488460553,2353.5673398485624,2357.282607313944
2025-02-01 09:44:00,2356095,2356765,2355910,2356765,2356.765,2355.5051545463666,0.9657051664272834,2354.056596796726,2356.9537122960073
2025-02-01 09:45:00,2356640,2356745,2355780,2355885,2355.885,2355.889386377217,1.0688446158752265,2354.286119453404,2357.49265330103
2025-02-01 09:46:00,2355880,2356115,2355410,2356040,2356.04,2355.787830941262,0.8488224379642386,2354.5145972843156,2357.0610645982088
2025-02-01 09:47:00,2355955,2357500,2355955,2357320,2357.32,2355.8953903015895,0.8257411366855335,2354.6567785965613,2357.1340020066177
2025-02-01 09:48:00,2357175,2357845,2357175,2357410,2357.41,2356.3254697436937,1.1109368264761421,2354.6590645039796,2357.991874983408
2025-02-01 09:49:00,2357455,2357855,2357165,2357575,2357.575,2356.562128895098,1.0326589292161126,2355.013140501274,2358.111117288922
2025-02-01 09:50:00,2357560,2357840,2357145,2357385,2357.385,2356.826156951827,1.0006099197107887,2355.325242072261,2358.3270718313934
