DateTime,open,high,low,close,rolling_avg_15,rolling_sd_15,rolling_avg_20,rolling_sd_20
2024-12-31 09:16:00,2355950,2356430,2354005,2355135,,,,
2024-12-31 09:17:00,2355070,2356150,2354500,2355915,,,,
2024-12-31 09:18:00,2355980,2356025,2355100,2355405,,,,
2024-12-31 09:19:00,2355400,2357195,2355215,2356905,,,,
2024-12-31 09:20:00,2356960,2357015,2355475,2355475,,,,
2024-12-31 09:21:00,2355450,2356400,2354280,2356240,,,,
2024-12-31 09:22:00,2356245,2356245,2354130,2354130,,,,
2024-12-31 09:23:00,2354110,2354575,2353330,2353690,,,,
2024-12-31 09:24:00,2353705,2354255,2352840,2354065,,,,
2024-12-31 09:25:00,2354225,2354870,2354170,2354560,,,,
2024-12-31 09:26:00,2354615,2354770,2353290,2353470,,,,
2024-12-31 09:27:00,2353390,2355400,2352820,2355115,,,,
2024-12-31 09:28:00,2355210,2355210,2353960,2354615,,,,
2024-12-31 09:29:00,2354665,2355090,2353640,2353690,,,,
2024-12-31 09:30:00,2353615,2354030,2353250,2354020,2354828.67,1024.38,,
2024-12-31 09:31:00,2354125,2355270,2353735,2354650,2354796.33,1021.67,,
2024-12-31 09:32:00,2354675,2354680,2353595,2353755,2354652.33,1004.82,,
2024-12-31 09:33:00,2353690,2354965,2353525,2354535,2354594.33,983.15,,
2024-12-31 09:34:00,2354450,2355670,2354450,2355125,2354475.67,768.27,,
2024-12-31 09:35:00,2355140,2355565,2354350,2354705,2354424.33,721.0,2354760.0,916.83
2024-12-31 09:36:00,2354705,2355020,2354260,2354620,2354316.33,524.03,2354734.25,912.96
2024-12-31 09:37:00,2354755,2358085,2354575,2357325,2354529.33,932.79,2354804.75,1052.69
2024-12-31 09:38:00,2357300,2357625,2356345,2357505,2354783.67,1175.98,2354909.75,1208.86
2024-12-31 09:39:00,2357555,2357685,2357100,2357440,2355008.67,1340.08,2354936.5,1260.17
2024-12-31 09:40:00,2357450,2358410,2357230,2358070,2355242.67,1546.67,2355066.25,1439.38
2024-12-31 09:41:00,2358115,2358440,2357215,2357630,2355520.0,1578.74,2355135.75,1529.76
2024-12-31 09:42:00,2357640,2357740,2356235,2356485,2355611.33,1593.2,2355253.5,1538.88
2024-12-31 09:43:00,2356530,2356575,2353570,2353570,2355541.67,1661.27,2355247.5,1545.51
2024-12-31 09:44:00,2353565,2353565,2351045,2353095,2355502.0,1714.88,2355199.0,1598.87
2024-12-31 09:45:00,2353100,2353100,2352255,2352340,2355390.0,1866.72,2355088.0,1718.18
2024-12-31 09:46:00,2352430,2352510,2351700,2351930,2355208.67,2065.29,2355011.0,1825.65
2024-12-31 09:47:00,2352005,2353515,2352005,2353200,2355171.67,2097.91,2354915.25,1869.6
2024-12-31 09:48:00,2353200,2353255,2352685,2352950,2355066.0,2170.91,2354832.0,1920.06
2024-12-31 09:49:00,2352875,2352875,2351125,2351185,2354803.33,2390.51,2354706.75,2074.01
2024-12-31 09:50:00,2351225,2351790,2350900,2351655,2354600.0,2525.38,2354588.5,2179.94
2024-12-31 09:51:00,2351660,2351675,2350780,2350785,2354344.33,2710.55,2354395.25,2339.66
2024-12-31 09:52:00,2350880,2351060,2350555,2350625,2353897.67,2736.21,2354238.75,2484.92
2024-12-31 09:53:00,2350655,2350670,2350160,2350500,2353430.67,2673.62,2354037.0,2619.74
2024-12-31 09:54:00,2350410,2351940,2350310,2351605,2353041.67,2464.95,2353861.0,2660.72
2024-12-31 09:55:00,2351630,2352820,2351630,2352090,2352643.0,2040.69,2353730.25,2681.24
2024-12-31 09:56:00,2352035,2352095,2349885,2350315,2352155.33,1587.53,2353515.0,2777.14
2024-12-31 09:57:00,2350425,2352580,2350395,2351580,2351828.33,1044.19,2353227.75,2656.82
2024-12-31 09:58:00,2351585,2351885,2351260,2351535,2351692.67,927.41,2352929.25,2480.49
2024-12-31 09:59:00,2351505,2351755,2351200,2351665,2351597.33,842.58,2352640.5,2253.51
2024-12-31 10:00:00,2351605,2353665,2351575,2353055,2351645.0,905.47,2352389.75,1862.68
2024-12-31 10:01:00,2353045,2354170,2352305,2352340,2351672.33,920.75,2352125.25,1396.71
2024-12-31 10:02:00,2352315,2352330,2350770,2350810,2351513.0,840.83,2351841.5,978.12
2024-12-31 10:03:00,2350765,2352005,2350730,2351035,2351385.33,747.23,2351714.75,903.76
2024-12-31 10:04:00,2350965,2351975,2350700,2351760,2351423.67,750.96,2351648.0,843.76
2024-12-31 10:05:00,2351665,2352815,2351565,2352100,2351453.33,769.32,2351636.0,835.06
2024-12-31 10:06:00,2352060,2352060,2349715,2349780,2351386.33,868.99,2351528.5,928.4
2024-12-31 10:07:00,2349810,2349915,2348050,2348800,2351264.67,1084.28,2351308.5,1027.5
2024-12-31 10:08:00,2348695,2349405,2348505,2348985,2351163.67,1222.37,2351110.25,1075.5
2024-12-31 10:09:00,2348855,2349030,2348030,2348460,2350954.0,1398.32,2350974.0,1227.41
2024-12-31 10:10:00,2348435,2348550,2346565,2347355,2350638.33,1637.55,2350759.0,1456.98
2024-12-31 10:11:00,2347255,2347375,2346560,2346830,2350406.0,1911.08,2350561.25,1701.2
2024-12-31 10:12:00,2346790,2347205,2346615,2347025,2350102.33,2066.76,2350381.25,1875.61
2024-12-31 10:13:00,2347055,2347525,2346045,2346205,2349747.0,2252.67,2350166.5,2094.42
2024-12-31 10:14:00,2346230,2346620,2346135,2346260,2349386.67,2353.97,2349899.25,2237.34
2024-12-31 10:15:00,2346255,2347160,2346170,2347000,2348983.0,2193.69,2349644.75,2264.36
2024-12-31 10:16:00,2347050,2348860,2347045,2348800,2348747.0,1987.46,2349569.0,2266.1
2024-12-31 10:17:00,2348790,2349345,2347585,2348535,2348595.33,1903.83,2349416.75,2225.81
2024-12-31 10:18:00,2348470,2348900,2348015,2348840,2348449.0,1783.47,2349282.0,2171.74
2024-12-31 10:19:00,2348735,2350895,2348690,2350635,2348374.0,1653.19,2349230.5,2123.94
2024-12-31 10:20:00,2350640,2352335,2350015,2352180,2348379.33,1666.14,2349186.75,2048.69
2024-12-31 10:21:00,2352210,2352225,2350480,2350480,2348426.0,1717.2,2349093.75,1937.2
2024-12-31 10:22:00,2350425,2350770,2349870,2350240,2348522.0,1778.75,2349065.25,1914.69
2024-12-31 10:23:00,2350275,2353560,2350225,2353225,2348804.67,2154.74,2349174.75,2088.04
2024-12-31 10:24:00,2353205,2354315,2353075,2353445,2349137.0,2460.51,2349259.0,2227.2
2024-12-31 10:25:00,2353485,2354060,2353430,2353760,2349564.0,2675.54,2349342.0,2365.3
2024-12-31 10:26:00,2353730,2354180,2352285,2352795,2349961.67,2683.44,2349492.75,2487.6
2024-12-31 10:27:00,2352775,2354370,2352590,2354330,2350448.67,2773.76,2349769.25,2704.43
2024-12-31 10:28:00,2354225,2355545,2353775,2353875,2350960.0,2639.29,2350013.75,2847.08
2024-12-31 10:29:00,2353800,2353895,2351710,2351770,2351327.33,2300.06,2350179.25,2848.21
2024-12-31 10:30:00,2351740,2352220,2349935,2350755,2351577.67,1977.11,2350349.25,2771.19
2024-12-31 10:31:00,2350570,2351925,2350415,2351270,2351742.33,1826.36,2350571.25,2649.61
2024-12-31 10:32:00,2351345,2352130,2351095,2352130,2351982.0,1596.87,2350826.5,2533.34
2024-12-31 10:33:00,2351885,2352075,2351290,2351575,2352164.33,1349.46,2351095.0,2290.7
2024-12-31 10:34:00,2351630,2352555,2351400,2352100,2352262.0,1282.21,2351387.0,1995.08
2024-12-31 10:35:00,2352155,2352650,2351870,2351955,2352247.0,1284.55,2351634.75,1708.73
2024-12-31 10:36:00,2351950,2353190,2351695,2353030,2352417.0,1199.95,2351846.25,1597.56
2024-12-31 10:37:00,2353140,2354025,2352435,2353400,2352627.67,1059.64,2352089.5,1428.25
2024-12-31 10:38:00,2353325,2353435,2352815,2353110,2352620.0,1055.41,2352303.0,1221.06
2024-12-31 10:39:00,2353075,2353540,2352430,2353340,2352613.0,1049.88,2352438.25,1175.54
2024-12-31 10:40:00,2353255,2353510,2352625,2353095,2352568.67,1011.32,2352484.0,1182.74
2024-12-31 10:41:00,2353130,2353770,2352525,2353745,2352632.0,1055.3,2352647.25,1114.96
2024-12-31 10:42:00,2353785,2354455,2353620,2353755,2352593.67,998.11,2352823.0,985.0
2024-12-31 10:43:00,2353695,2354075,2353405,2353745,2352585.0,986.69,2352849.0,1002.87
2024-12-31 10:44:00,2353715,2354345,2353705,2353940,2352729.67,1017.26,2352873.75,1024.23
2024-12-31 10:45:00,2353905,2354605,2353880,2354450,2352976.0,950.1,2352908.25,1066.41
2024-12-31 10:46:00,2354475,2354590,2353400,2353665,2353135.67,837.49,2352951.75,1079.21
2024-12-31 10:47:00,2353675,2354095,2353535,2354060,2353264.33,820.03,2352938.25,1062.63
2024-12-31 10:48:00,2354045,2354320,2353190,2353225,2353374.33,675.09,2352905.75,1042.21
2024-12-31 10:49:00,2353195,2353315,2351890,2352375,2353392.67,640.88,2352936.0,1015.96
2024-12-31 10:50:00,2352550,2354185,2352550,2353665,2353506.67,504.44,2353081.5,887.42
2024-12-31 10:51:00,2353710,2353715,2353000,2353230,2353520.0,493.46,2353179.5,778.36
2024-12-31 10:52:00,2353260,2353685,2352700,2352910,2353487.33,517.6,2353218.5,741.69
2024-12-31 10:53:00,2352880,2355520,2352360,2355435,2353642.33,709.2,2353411.5,792.02
2024-12-31 10:54:00,2355410,2357660,2355390,2357105,2353893.33,1133.74,2353661.75,1090.34
2024-12-31 10:55:00,2357060,2359185,2356925,2358600,2354260.33,1636.42,2353994.0,1484.19
2024-12-31 10:56:00,2358520,2359645,2358075,2359485,2354643.0,2109.93,2354316.75,1905.56
2024-12-31 10:57:00,2359495,2359495,2357910,2358100,2354932.67,2271.39,2354551.75,2069.33
2024-12-31 10:58:00,2358135,2358295,2357365,2357870,2355207.67,2365.1,2354789.75,2166.24
2024-12-31 10:59:00,2357785,2358075,2356955,2357350,2355435.0,2398.2,2354990.25,2210.13
2024-12-31 11:00:00,2357260,2357475,2356535,2357175,2355616.67,2421.36,2355194.25,2214.28
2024-12-31 11:01:00,2357250,2358420,2357185,2358085,2355911.33,2435.79,2355411.25,2276.56
