open,high,low,close,close_diff,close_diff_percent,close_moving_avg,std,upper_bb,lower_bb
2355950,2356430,2354005,2355135,,,,,,
2355070,2356150,2354500,2355915,780.0,3.3119120559965687,,,,
2355980,2356025,2355100,2355405,-510.0,-2.1647640088884312,,,,
2355400,2357195,2355215,2356905,1500.0,6.368331560815399,,,,
2356960,2357015,2355475,2355475,-1430.0,-6.067278910265594,,,,
2355450,2356400,2354280,2356240,765.0,3.247752576445162,,,,
2356245,2356245,2354130,2354130,-2110.0,-8.954945166875783,,,,
2354110,2354575,2353330,2353690,-440.0,-1.8690556596279162,,,,
2353705,2354255,2352840,2354065,375.0,1.5932429504306178,,,,
2354225,2354870,2354170,2354560,495.0,2.1027456760958074,,,,
2354615,2354770,2353290,2353470,-1090.0,-4.629315031258185,,,,
2353390,2355400,2352820,2355115,1645.0,6.989679069628885,,,,
2355210,2355210,2353960,2354615,-500.0,-2.1230385777337712,,,,
2354665,2355090,2353640,2353690,-925.0,-3.9284553950436063,,,,
2353615,2354030,2353250,2354020,330.0,1.4020537963799207,,,,
2354125,2355270,2353735,2354650,630.0,2.676272928863188,,,,
2354675,2354680,2353595,2353755,-895.0,-3.800989531352883,,,,
2353690,2354965,2353525,2354535,780.0,3.3138538208099533,,,,
2354450,2355670,2354450,2355125,590.0,2.5058026319424442,,,,
2355140,2355565,2354350,2354705,-420.0,-1.7833448330772939,2354760.0,916.8251856557457,2356593.6503713117,2352926.3496286883
2354705,2355020,2354260,2354620,-85.0,-0.3609794008163636,2354734.25,912.9626080427796,2356560.1752160857,2352908.3247839143
2354755,2358085,2354575,2357325,2705.0,11.488053273989163,2354804.75,1052.6888816640087,2356910.127763328,2352699.372236672
2357300,2357625,2356345,2357505,180.0,0.763577359932377,2354909.75,1208.8592654582699,2357327.4685309166,2352492.0314690834
2357555,2357685,2357100,2357440,-65.0,-0.27571521587388403,2354936.5,1260.1650894353797,2357456.830178871,2352416.169821129
2357450,2358410,2357230,2358070,630.0,2.672390389575341,2355066.25,1439.3793207308129,2357945.008641462,2352187.491358538
2358115,2358440,2357215,2357630,-440.0,-1.8659327331249642,2355135.75,1529.7568391225602,2358195.2636782452,2352076.2363217548
2357640,2357740,2356235,2356485,-1145.0,-4.856572066015419,2355253.5,1538.8752728091065,2358331.250545618,2352175.749454382
2356530,2356575,2353570,2353570,-2915.0,-12.370119054438966,2355247.5,1545.5117530926486,2358338.5235061855,2352156.4764938145
2353565,2353565,2351045,2353095,-475.0,-2.0182106332078398,2355199.0,1598.8718061907646,2358396.7436123816,2352001.2563876184
2353100,2353100,2352255,2352340,-755.0,-3.20854024168149,2355088.0,1718.1778904287062,2358524.3557808576,2351651.6442191424
2352430,2352510,2351700,2351930,-410.0,-1.742945322530387,2355011.0,1825.651001409496,2358662.302002819,2351359.697997181
2352005,2353515,2352005,2353200,1270.0,5.399820572891123,2354915.25,1869.5985179768404,2358654.447035954,2351176.052964046
2353200,2353255,2352685,2352950,-250.0,-1.0623831378553383,2354832.0,1920.0605801846689,2358672.1211603694,2350991.8788396306
2352875,2352875,2351125,2351185,-1765.0,-7.501221870418462,2354706.75,2074.0084980539787,2358854.766996108,2350558.733003892
2351225,2351790,2350900,2351655,470.0,1.9989919976515225,2354588.5,2179.9397022081357,2358948.3794044163,2350228.6205955837
2351660,2351675,2350780,2350785,-870.0,-3.6995222513502846,2354395.25,2339.663985658973,2359074.577971318,2349715.922028682
2350880,2351060,2350555,2350625,-160.0,-0.6806237065493104,2354238.75,2484.918125835423,2359208.586251671,2349268.913748329
2350655,2350670,2350160,2350500,-125.0,-0.5317734645038374,2354037.0,2619.7425546476325,2359276.485109295,2348797.514890705
2350410,2351940,2350310,2351605,1105.0,4.701127419697304,2353861.0,2660.7214098910727,2359182.442819782,2348539.557180218
2351630,2352820,2351630,2352090,485.0,2.0624211974373807,2353730.25,2681.236201044137,2359092.7224020883,2348367.7775979117
2352035,2352095,2349885,2350315,-1775.0,-7.546479939117834,2353515.0,2777.1354988454314,2359069.270997691,2347960.729002309
2350425,2352580,2350395,2351580,1265.0,5.382257271897561,2353227.75,2656.8186728729447,2358541.3873457457,2347914.1126542543
2351585,2351885,2351260,2351535,-45.0,-0.19136070216640988,2352929.25,2480.4871523871975,2357890.2243047743,2347968.2756952257
2351505,2351755,2351200,2351665,130.0,0.5528303852586625,2352640.5,2253.505398029365,2357147.510796059,2348133.489203941
2351605,2353665,2351575,2353055,1390.0,5.910705819067719,2352389.75,1862.6844486555556,2356115.118897311,2348664.381102689
2353045,2354170,2352305,2352340,-715.0,-3.038603007579077,2352125.25,1396.7127525579508,2354918.675505116,2349331.824494884
2352315,2352330,2350770,2350810,-1530.0,-6.504161813343234,2351841.5,978.1159386666533,2353797.7318773335,2349885.2681226665
2350765,2352005,2350730,2351035,225.0,0.9571169086397546,2351714.75,903.7618383879708,2353522.273676776,2349907.226323224
2350965,2351975,2350700,2351760,725.0,3.0837482215284595,2351648.0,843.7625632593412,2353335.5251265187,2349960.4748734813
2351665,2352815,2351565,2352100,340.0,1.4457257543276647,2351636.0,835.0647626949765,2353306.12952539,2349965.87047461
2352060,2352060,2349715,2349780,-2320.0,-9.863526210620588,2351528.5,928.3971756686764,2353385.2943513375,2349671.7056486625
2349810,2349915,2348050,2348800,-980.0,-4.170603205406742,2351308.5,1027.4983672673095,2353363.4967345344,2349253.5032654656
2348695,2349405,2348505,2348985,185.0,0.7876362397829517,2351110.25,1075.50168831995,2353261.25337664,2348959.24662336
