open,high,low,close,close_diff,close_diff_percent
2353195,2353315,2351890,2352375,-850.0,-3.612064294744588
2352550,2354185,2352550,2353665,1290.0,5.483819544078727
2353710,2353715,2353000,2353230,-435.0,-1.8481814531801088
2353260,2353685,2352700,2352910,-320.0,-1.359833080489814
2352880,2355520,2352360,2355435,2525.0,10.731392190945765
2355410,2357660,2355390,2357105,1670.0,7.089985501615992
2357060,2359185,2356925,2358600,1495.0,6.3425261072369565
2358520,2359645,2358075,2359485,885.0,3.7522258967181976
2359495,2359495,2357910,2358100,-1385.0,-5.869925004821086
2358135,2358295,2357365,2357870,-230.0,-0.975361519868212
2357785,2358075,2356955,2357350,-520.0,-2.2053802796595523
2357260,2357475,2356535,2357175,-175.0,-0.7423590048150075
2357250,2358420,2357185,2358085,910.0,3.860553416696888
2358130,2358130,2357300,2357945,-140.0,-0.5937020930124604
2357900,2357910,2356695,2356835,-1110.0,-4.707488936340765
2356885,2356965,2355730,2355730,-1105.0,-4.688491133235662
2355725,2356475,2355540,2355960,230.0,0.9763427897091503
2355875,2356465,2355875,2356285,325.0,1.37948012699729
2356245,2357040,2355605,2356740,455.0,1.9310057993826568
2356820,2357090,2356400,2357020,280.0,1.1880818418652517
2356960,2358090,2356960,2357680,660.0,2.800145947001731
2357635,2359985,2357565,2359595,1915.0,8.122391503511128
2359615,2359780,2358675,2359715,120.0,0.5085618506561751
2359735,2360510,2359335,2360390,675.0,2.8605149350657832
2360450,2360450,2359380,2359730,-660.0,-2.796148094170725
2359755,2360550,2359600,2360475,745.0,3.1571408593356054
2360490,2360930,2360310,2360910,435.0,1.8428494264921547
2360915,2361175,2360340,2360375,-535.0,-2.266075369242726
2360450,2360450,2359180,2359315,-1060.0,-4.490811841338926
2359270,2360020,2358745,2359915,600.0,2.5431110301088466
2359865,2359865,2358895,2359515,-400.0,-1.6949763021123498
2359305,2359320,2358375,2358840,-675.0,-2.860757401415004
2358845,2359200,2358675,2359135,295.0,1.2506147089252906
2359140,2359375,2358525,2358715,-420.0,-1.7803135471261555
2358625,2359365,2358625,2359255,540.0,2.2893821423952687
2359205,2359605,2358800,2359580,325.0,1.3775535073579093
